trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
445,False,"{'a': 0.005, 'e': 0.10806741863482926}",20,5,14.737896049845936,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.005, 'e': 0.10752843013579495}",20,9,18.70559513107481,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.005, 'e': 0.10699212985311449}",25,10,21.92735100302797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.005, 'e': 0.10645850437925281}",20,0,10.545940980923683,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
449,False,"{'a': 0.005, 'e': 0.10592754037354536}",25,13,26.61827284728034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.005, 'e': 0.10539922456186433}",25,17,16.34751166968763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.005, 'e': 0.10487354373628691}",20,9,19.725429624258204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.005, 'e': 0.10435048475476499}",20,10,16.126309788439443,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.005, 'e': 0.10383003454079692}",25,13,21.108152094258692,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.005, 'e': 0.1033121800831002}",35,24,17.42154057776459,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.005, 'e': 0.1027969084352864}",20,5,11.548100668471783,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.005, 'e': 0.10228420671553744}",30,0,-5.620831419267429,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
457,False,"{'a': 0.005, 'e': 0.10177406210628372}",20,0,33.03092750876843,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
458,False,"{'a': 0.005, 'e': 0.1012664618538834}",20,0,7.842701940334805,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
459,False,"{'a': 0.005, 'e': 0.10076139326830373}",20,0,28.13233212236342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
460,False,"{'a': 0.005, 'e': 0.10025884372280371}",30,4,45.32547795987516,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.005, 'e': 0.099758800653618626}",20,7,21.438641028168774,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,16.421720436256265,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,26.643630615575134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,23.82183904973133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,30.74368749363743,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,15.546111205296059,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,24.994718254674144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,21.394304552111233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,33.07028587481604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,21.664536593151347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,23,20.475121492207013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
